Description	Resource	Path	Location	Type
Type d3fend.owl:SoftwareDeploymentTool is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13361 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ShimDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14945 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SharedLibraryFile is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13152 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SetThreadContext is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9729 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SetRegisters is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9724 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SessionCookie is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14797 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ServiceApplication is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15714 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ServiceApplication is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15746 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ScheduledJob is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 8213 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:ScheduledJob is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13041 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
